MODEL,ITERATION,NUMBEROFEVENTS,NUMBEROFEDGES,CPP_TIME,ETA_TIME,ETAP_TIME,GETA_TIME,GETAP_TIME,CPP_CES,ETA_CES,ETAP_CES,GETA_CES,GETAP_CES,CPP_TOTALEVENTS,ETA_TOTALEVENTS,ETAP_TOTALEVENTS,GETA_TOTALEVENTS,GETAP_TOTALEVENTS,CPP_AVGTCLEN,ETA_AVGTCLEN,ETAP_AVGTCLEN,GETA_AVGTCLEN,GETAP_AVGTCLEN
08.esg4wsc,28,5,6,501290959,239458,294949,454991,502404,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,29,5,6,501338735,238395,302212,457359,491451,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,30,5,6,501289889,240613,332301,454357,3742288,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,31,5,6,501420721,226363,282465,436554,507183,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,32,5,6,501282835,226191,301463,468906,467588,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,33,5,6,501276362,227200,297109,433565,467489,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,34,5,6,501253275,227446,339656,438529,468901,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,35,5,6,501267286,255361,282560,433570,485769,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,36,5,6,501342151,238481,293716,455813,485706,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,37,5,6,501298028,256466,295267,456780,491893,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,38,5,6,501296786,229726,291689,447427,469394,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,39,5,6,501248892,230325,282615,448612,470612,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,40,5,6,501252923,228526,280689,437294,505044,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,41,5,6,501272252,229090,281063,432964,481602,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,42,5,6,501294433,227429,283057,475323,470814,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,43,5,6,501292240,226110,310479,434014,481704,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,44,5,6,501268652,227573,284502,433202,483586,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,45,5,6,501265179,230759,282357,437995,471026,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,46,5,6,501306255,226557,310727,438063,468287,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,47,5,6,501308803,228043,278394,431498,466688,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,48,5,6,501266615,225308,279834,433719,465347,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,49,5,6,501266432,220610,280160,433914,465072,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,50,5,6,501283919,221349,277330,429680,464095,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,51,5,6,501289351,221024,280977,432696,495225,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,52,5,6,501248988,222262,278762,457211,464202,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,53,5,6,501292308,220788,276361,472143,467291,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,54,5,6,501268687,219976,309073,442428,467773,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,55,5,6,501246679,223399,265534,421693,453223,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,56,5,6,501259413,250571,264274,421522,456259,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,57,5,6,501262836,224233,267201,423552,464365,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,58,5,6,501309093,225423,264692,421021,449574,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,59,5,6,501310883,226897,266782,427098,453748,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,60,5,6,501255712,222192,263743,422651,451809,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,61,5,6,501274846,225206,270255,423269,475320,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,62,5,6,501282907,221171,265851,424083,451543,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,63,5,6,501279822,227447,267018,423818,476333,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,64,5,6,501244953,226638,268017,437602,467176,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,65,5,6,501251603,224872,266972,421032,451563,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,66,5,6,501262047,224746,267229,443986,456675,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,67,5,6,501247365,224356,265798,418820,477129,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,68,5,6,501236919,223504,263662,421811,483110,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,69,5,6,501264139,224491,261688,420095,510467,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,70,5,6,501278188,229440,261568,419804,486511,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,71,5,6,501269331,223692,291634,453413,444212,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,72,5,6,501269100,224629,260768,447069,484373,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,73,5,6,501265683,232174,283771,407576,439173,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,74,5,6,501235133,220425,290774,407697,434863,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,75,5,6,501237185,220721,292864,419045,441007,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,76,5,6,501280671,218560,258799,406023,434911,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,77,5,6,501240557,253247,258218,405251,434146,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,78,5,6,501238957,250330,257894,415695,434810,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,79,5,6,501253507,271900,273015,432671,438058,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,80,5,6,501234313,222284,258349,404146,436186,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,81,5,6,501246471,220394,256479,405058,437437,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,82,5,6,501248230,221287,258208,421277,440002,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,83,5,6,501270465,220482,255203,405737,447850,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,84,5,6,501280618,219477,259085,403515,436098,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,85,5,6,501310123,220539,258905,411763,450790,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,86,5,6,501289636,220289,264113,443461,439348,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,87,5,6,501277527,209914,257792,384000,413906,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,88,5,6,501282483,208493,244064,386420,413489,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,89,5,6,501260018,204156,245166,385135,418481,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,90,5,6,501293904,205466,243562,384657,424455,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,91,5,6,501272793,207638,243649,383888,448206,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,92,5,6,501311880,225972,239688,374957,403244,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,93,5,6,501274616,244214,233414,371329,421264,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,94,5,6,501271457,189752,224146,360923,386281,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,95,5,6,501238726,191234,226182,359299,506523,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,96,5,6,501287892,184758,221164,325272,355045,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,97,5,6,501207879,182746,212960,336032,346696,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,98,5,6,501217616,186978,215919,331659,345926,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,99,5,6,501171236,186387,214068,322456,344904,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
08.esg4wsc,100,5,6,501163388,209781,213980,321935,344821,3.00,3.00,3.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,1.67,1.67,1.67,1.67,1.67
23.esg4wsc,1,7,9,501416637,239340,279393,460496,479389,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,2,7,9,501412966,238778,282743,449303,487658,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,3,7,9,501391418,238367,281042,450057,479111,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,4,7,9,501379490,237824,287947,446798,478562,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,5,7,9,501375264,241728,281313,447973,510196,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,6,7,9,501374877,238960,280516,447058,508134,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,7,7,9,501362351,249228,290699,447625,517617,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,8,7,9,501420959,250734,279954,446693,506263,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,9,7,9,501356886,235298,282839,446756,512249,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
23.esg4wsc,10,7,9,501380410,237701,280140,444685,506240,4.00,4.00,4.00,4.00,4.00,7.00,7.00,7.00,7.00,7.00,1.75,1.75,1.75,1.75,1.75
