SEED,ITERATION,NUMBEROFEVENTS,NUMBEROFEDGES,CPP_TIME,ETA_TIME,ETAP_TIME,GETA_TIME,GETAP_TIME,CPP_CES,ETA_CES,ETAP_CES,GETA_CES,GETAP_CES,CPP_TOTALEVENTS,ETA_TOTALEVENTS,ETAP_TOTALEVENTS,GETA_TOTALEVENTS,GETAP_TOTALEVENTS,CPP_AVGTCLEN,ETA_AVGTCLEN,ETAP_AVGTCLEN,GETA_AVGTCLEN,GETAP_AVGTCLEN
5836286531301489829,44,150,239,515995589,17786103,9969929,4702309,4465902,23.00,89.00,66.00,47.00,44.00,392.00,874.00,682.00,538.00,514.00,17.04,9.82,10.33,11.45,11.68
970189029322683198,45,150,233,521788230,9365173,7398881,6536177,5340932,37.00,83.00,65.00,68.00,54.00,526.00,934.00,762.00,870.00,730.00,14.22,11.25,11.72,12.79,13.52
-1336478206856543120,46,150,236,522431707,12906052,8009731,6907642,5858912,29.00,86.00,64.00,67.00,55.00,468.00,932.00,732.00,788.00,690.00,16.14,10.84,11.44,11.76,12.55
5424415843580148826,47,150,236,521143928,10435132,7930627,5008257,4397669,34.00,86.00,65.00,57.00,49.00,428.00,842.00,666.00,618.00,554.00,12.59,9.79,10.25,10.84,11.31
-8675459865599506525,48,150,236,519994656,9266394,7143203,7313398,7436148,37.00,86.00,65.00,72.00,58.00,552.00,958.00,770.00,864.00,734.00,14.92,11.14,11.85,12.00,12.66
1424509101616026248,49,150,238,512245174,16244672,14114048,4388430,4189174,13.00,88.00,65.00,43.00,40.00,382.00,1110.00,870.00,722.00,682.00,29.38,12.61,13.38,16.79,17.05
-546112755087430804,50,150,239,516336489,12808369,11255411,3865142,3507765,27.00,89.00,68.00,47.00,41.00,374.00,884.00,702.00,538.00,490.00,13.85,9.93,10.32,11.45,11.95
7962168844201162931,51,150,240,513827732,22636940,17057552,5439185,5031370,14.00,90.00,68.00,47.00,42.00,360.00,1048.00,836.00,668.00,622.00,25.71,11.64,12.29,14.21,14.81
-1447807197349046234,52,150,234,517262991,8209193,6492097,4864604,4344607,48.00,84.00,67.00,64.00,56.00,520.00,762.00,642.00,646.00,590.00,10.83,9.07,9.58,10.09,10.54
-5276550890635604417,53,150,238,516047276,13884452,10407803,6026474,4251684,19.00,88.00,62.00,54.00,41.00,426.00,1092.00,826.00,906.00,764.00,22.42,12.41,13.32,16.78,18.63
-7889645269547657728,54,150,235,516804292,8823390,10062293,8000702,4397808,41.00,85.00,65.00,61.00,52.00,476.00,824.00,662.00,626.00,558.00,11.61,9.69,10.18,10.26,10.73
6105447206382925388,55,150,235,513567272,11653983,15276264,4520907,4108477,35.00,85.00,66.00,53.00,47.00,416.00,794.00,648.00,544.00,504.00,11.89,9.34,9.82,10.26,10.72
1125176861722775516,56,150,238,517371172,19803864,8520932,4855535,4151957,27.00,88.00,65.00,53.00,45.00,390.00,822.00,642.00,536.00,486.00,14.44,9.34,9.88,10.11,10.80
-7207605322402533573,57,150,239,512787018,19702615,16983434,6113347,5816946,12.00,89.00,66.00,43.00,39.00,352.00,1118.00,878.00,650.00,610.00,29.33,12.56,13.30,15.12,15.64
9217548590728929401,58,150,235,518005056,9736796,7535298,5006804,4296559,34.00,85.00,64.00,56.00,48.00,384.00,774.00,610.00,536.00,480.00,11.29,9.11,9.53,9.57,10.00
-3953755842061492624,59,150,238,519872285,8725186,6819074,11356781,4423732,42.00,88.00,68.00,67.00,55.00,472.00,812.00,650.00,660.00,574.00,11.24,9.23,9.56,9.85,10.44
-7198334332909498925,60,150,236,515336129,11208084,7506795,5363866,4700192,28.00,86.00,63.00,58.00,49.00,462.00,974.00,754.00,734.00,652.00,16.50,11.33,11.97,12.66,13.31
647782523564807257,61,150,239,515011756,15469257,17122503,4739141,4206096,17.00,89.00,65.00,44.00,37.00,366.00,986.00,758.00,560.00,506.00,21.53,11.08,11.66,12.73,13.68
-3913906503059040567,62,150,239,514216569,12407679,9015905,5783791,4301368,27.00,89.00,64.00,49.00,44.00,356.00,832.00,634.00,520.00,482.00,13.19,9.35,9.91,10.61,10.95
-7913873935814718289,63,150,238,514359119,16441574,13516368,4426864,4222882,12.00,88.00,65.00,41.00,37.00,370.00,1106.00,860.00,684.00,648.00,30.83,12.57,13.23,16.68,17.51
-2001984489246869760,64,150,239,510524854,17933183,13696579,3735166,3378001,14.00,89.00,68.00,40.00,32.00,342.00,1042.00,838.00,808.00,684.00,24.43,11.71,12.32,20.20,21.38
-7024891400305611012,65,150,238,514412420,16236672,12458366,4269965,7276518,13.00,88.00,63.00,42.00,34.00,332.00,1066.00,814.00,694.00,612.00,25.54,12.11,12.92,16.52,18.00
7464149073758766343,66,150,237,519381267,11909739,9140635,5135838,5605393,28.00,87.00,65.00,55.00,45.00,414.00,902.00,710.00,690.00,598.00,14.79,10.37,10.92,12.55,13.29
5256455899647595356,67,150,239,513883071,16703807,13013718,6140613,4360812,14.00,89.00,65.00,45.00,37.00,348.00,1028.00,796.00,646.00,562.00,24.86,11.55,12.25,14.36,15.19
-7486574127210524997,68,150,241,514580879,18083528,15368811,6288184,5734808,17.00,91.00,66.00,49.00,42.00,360.00,1038.00,800.00,674.00,606.00,21.18,11.41,12.12,13.76,14.43
6989122163865145223,69,150,239,513589296,18985825,18935729,6078203,5401311,13.00,89.00,67.00,50.00,43.00,398.00,1106.00,880.00,752.00,676.00,30.62,12.43,13.13,15.04,15.72
3592343295073228781,70,150,239,511943016,24301367,13090745,5975418,5644402,13.00,89.00,66.00,50.00,43.00,372.00,1044.00,818.00,710.00,642.00,28.62,11.73,12.39,14.20,14.93
6536956841989050382,71,150,233,523089683,7467786,5730391,5548728,7778269,42.00,83.00,62.00,67.00,55.00,662.00,1044.00,826.00,922.00,800.00,15.76,12.58,13.32,13.76,14.55
